Task ID,Occupation (O*NET-SOC Title),Task,Automation_Quadrant,Task_Impact_Score,Automation_ROI_Score,Medical_Risk_Score
9416,Medical Transcriptionists,"Return dictated reports in printed or electronic form for physician's review, signature, and corrections and for inclusion in patients' medical records.",1. Mỏ Vàng AI (Quick Wins),34.16,170.79999999999998,1.7428571428571427
9421,Medical Transcriptionists,"Produce medical reports, correspondence, records, patient-care information, statistics, medical research, and administrative material.",1. Mỏ Vàng AI (Quick Wins),33.32,166.6,1.19
9413,Medical Transcriptionists,"Transcribe dictation for a variety of medical reports, such as patient histories, physical examinations, emergency room visits, operations, chart reviews, consultation, or discharge summaries.",1. Mỏ Vàng AI (Quick Wins),32.550000000000004,162.75000000000003,0.0
9423,Medical Transcriptionists,"Set up and maintain medical files and databases, including records such as x-ray, lab, and procedure reports, medical histories, diagnostic workups, admission and discharge summaries, and clinical resumes.",1. Mỏ Vàng AI (Quick Wins),32.34,161.70000000000002,0.99
9417,Medical Transcriptionists,Translate medical jargon and abbreviations into their expanded forms to ensure the accuracy of patient and health care facility records.,1. Mỏ Vàng AI (Quick Wins),32.27,161.35000000000002,0.3292857142857143
9420,Medical Transcriptionists,"Perform data entry and data retrieval services, providing data for inclusion in medical records and for transmission to physicians.",2. Vùng Kháng Cự (Resistance),31.78,158.9,0.3783333333333333
9414,Medical Transcriptionists,"Review and edit transcribed reports or dictated material for spelling, grammar, clarity, consistency, and proper medical terminology.",1. Mỏ Vàng AI (Quick Wins),23.650000000000002,118.25000000000001,1.0135714285714286
49,Medical and Health Services Managers,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",1. Mỏ Vàng AI (Quick Wins),21.549999999999997,107.74999999999999,2.155
17254,Radiologists,"Perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (MRI), computer tomography (CT), positron emission tomography (PET), nuclear cardiology treadmill studies, mammography, or ultrasound.",2. Vùng Kháng Cự (Resistance),34.44,103.32,0.5466666666666666
17239,Radiologists,Review or transmit images and information using picture archiving or communications systems.,1. Mỏ Vàng AI (Quick Wins),33.879999999999995,101.63999999999999,0.8066666666666666
15614,Clinical Research Coordinators,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",1. Mỏ Vàng AI (Quick Wins),21.349999999999998,96.07499999999999,0.854
9415,Medical Transcriptionists,"Distinguish between homonyms and recognize inconsistencies and mistakes in medical terms, referring to dictionaries, drug references, and other sources on anatomy, physiology, and medicine.",1. Mỏ Vàng AI (Quick Wins),23.1,92.4,0.924
17242,Radiologists,Prepare comprehensive interpretive reports of findings.,3. Chờ Công Nghệ (Unmet Needs),34.86,87.15,0.0
17248,Radiologists,"Document the performance, interpretation, or outcomes of all procedures performed.",3. Chờ Công Nghệ (Unmet Needs),34.09,85.22500000000001,0.34785714285714286
18092,Health Informatics Specialists,Use informatics science to design or implement health information technology applications for resolution of clinical or health care administrative problems.,4. Thành Trì Con Người (Safe Haven),28.259999999999998,75.35999999999999,0.0
52,Medical and Health Services Managers,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",1. Mỏ Vàng AI (Quick Wins),20.55,71.925,1.0275
16795,Bioinformatics Scientists,"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.",2. Vùng Kháng Cự (Resistance),19.7,68.95,0.985
16249,Biostatisticians,Write program code to analyze data with statistical analysis software.,2. Vùng Kháng Cự (Resistance),17.16,68.64,1.43
16284,Clinical Data Managers,"Process clinical data, including receipt, entry, verification, or filing of information.",1. Mỏ Vàng AI (Quick Wins),21.85,65.55000000000001,0.3121428571428571
18094,Health Informatics Specialists,"Analyze and interpret patient, nursing, or information systems data to improve nursing services.",2. Vùng Kháng Cự (Resistance),21.65,64.94999999999999,1.4433333333333334
16793,Bioinformatics Scientists,"Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases.",1. Mỏ Vàng AI (Quick Wins),18.55,64.925,0.30916666666666665
16280,Clinical Data Managers,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",1. Mỏ Vàng AI (Quick Wins),21.6,64.80000000000001,1.08
17249,Radiologists,Develop or monitor procedures to ensure adequate quality control of images.,3. Chờ Công Nghệ (Unmet Needs),32.199999999999996,64.39999999999999,1.3800000000000001
15592,Clinical Research Coordinators,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,2. Vùng Kháng Cự (Resistance),20.4,61.199999999999996,1.428
16279,Clinical Data Managers,Monitor work productivity or quality to ensure compliance with standard operating procedures.,1. Mỏ Vàng AI (Quick Wins),20.25,60.75,0.81
16807,Molecular and Cellular Biologists,Maintain accurate laboratory records and data.,4. Thành Trì Con Người (Safe Haven),23.25,58.125,0.6642857142857143
15584,Clinical Research Coordinators,Register protocol patients with appropriate statistical centers as required.,1. Mỏ Vàng AI (Quick Wins),13.92,55.68,2.175
18101,Health Informatics Specialists,"Identify, collect, record, or analyze data relevant to the nursing care of patients.",3. Chờ Công Nghệ (Unmet Needs),21.200000000000003,53.00000000000001,1.4133333333333333
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",2. Vùng Kháng Cự (Resistance),13.169999999999998,52.67999999999999,2.469375
18095,Health Informatics Specialists,"Analyze computer and information technologies to determine applicability to nursing practice, education, administration, and research.",4. Thành Trì Con Người (Safe Haven),19.5,52.0,0.4875
15598,Clinical Research Coordinators,Order drugs or devices necessary for study completion.,1. Mỏ Vàng AI (Quick Wins),11.55,51.975,1.7325000000000002
16786,Bioinformatics Scientists,Develop new software applications or customize existing applications to meet specific scientific project needs.,1. Mỏ Vàng AI (Quick Wins),12.899999999999999,51.599999999999994,1.72
16790,Bioinformatics Scientists,Create novel computational approaches and analytical tools as required by research goals.,1. Mỏ Vàng AI (Quick Wins),12.72,50.88,0.53
16262,Biostatisticians,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,2. Vùng Kháng Cự (Resistance),12.54,50.16,1.7416666666666665
55,Medical and Health Services Managers,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",2. Vùng Kháng Cự (Resistance),12.48,49.92,1.872
15609,Clinical Research Coordinators,"Code, evaluate, or interpret collected study data.",2. Vùng Kháng Cự (Resistance),12.21,48.84,1.0175
16814,Molecular and Cellular Biologists,Compile and analyze molecular or cellular experimental data and adjust experimental designs as necessary.,3. Chờ Công Nghệ (Unmet Needs),20.6,48.06666666666667,1.03
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,4. Thành Trì Con Người (Safe Haven),17.4,46.39999999999999,1.5224999999999997
51,Medical and Health Services Managers,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",1. Mỏ Vàng AI (Quick Wins),12.48,45.76,1.04
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,1. Mỏ Vàng AI (Quick Wins),13.049999999999999,45.675,1.6312499999999999
16791,Bioinformatics Scientists,"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics.",1. Mỏ Vàng AI (Quick Wins),11.25,45.0,1.1250000000000002
18088,Health Informatics Specialists,"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts.",4. Thành Trì Con Người (Safe Haven),16.56,44.16,1.38
18090,Health Informatics Specialists,"Translate nursing practice information between nurses and systems engineers, analysts, or designers, using object-oriented models or other techniques.",1. Mỏ Vàng AI (Quick Wins),14.43,43.29,0.60125
15608,Clinical Research Coordinators,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",2. Vùng Kháng Cự (Resistance),12.330000000000002,43.15500000000001,1.6440000000000001
23905,Molecular and Cellular Biologists,"Prepare or review reports, manuscripts, or meeting presentations.",1. Mỏ Vàng AI (Quick Wins),12.690000000000001,42.300000000000004,1.0575
16277,Clinical Data Managers,"Prepare data analysis listings and activity, performance, or progress reports.",1. Mỏ Vàng AI (Quick Wins),11.850000000000001,41.47500000000001,1.7281250000000001
18103,Health Informatics Specialists,Provide consultation to nurses regarding hardware or software configuration.,2. Vùng Kháng Cự (Resistance),10.290000000000001,41.160000000000004,0.0
15595,Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",2. Vùng Kháng Cự (Resistance),13.23,39.69,1.9845000000000002
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,1. Mỏ Vàng AI (Quick Wins),12.899999999999999,38.699999999999996,0.0
18093,Health Informatics Specialists,"Develop, implement, or evaluate health information technology applications, tools, processes, or structures to assist nurses with data management.",2. Vùng Kháng Cự (Resistance),12.450000000000001,37.35,2.075
16788,Bioinformatics Scientists,Create or modify web-based bioinformatics tools.,1. Mỏ Vàng AI (Quick Wins),10.14,37.18,0.0
15600,Clinical Research Coordinators,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,2. Vùng Kháng Cự (Resistance),11.879999999999999,35.64,0.792
16274,Clinical Data Managers,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",3. Chờ Công Nghệ (Unmet Needs),13.8,34.5,1.725
57,Medical and Health Services Managers,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",2. Vùng Kháng Cự (Resistance),11.34,34.019999999999996,1.134
16808,Molecular and Cellular Biologists,Instruct undergraduate and graduate students within the areas of cellular or molecular biology.,4. Thành Trì Con Người (Safe Haven),16.76,33.52,1.795714285714286
15590,Clinical Research Coordinators,Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.,3. Chờ Công Nghệ (Unmet Needs),14.32,33.413333333333334,1.5911111111111111
16283,Clinical Data Managers,Analyze clinical data using appropriate statistical tools.,1. Mỏ Vàng AI (Quick Wins),11.129999999999999,33.39,1.2366666666666668
17234,Radiologists,Participate in continuing education activities to maintain and develop expertise.,4. Thành Trì Con Người (Safe Haven),12.75,31.875,0.7083333333333333
15593,Clinical Research Coordinators,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",4. Thành Trì Con Người (Safe Haven),12.66,29.540000000000003,2.5319999999999996
15607,Clinical Research Coordinators,Communicate with laboratories or investigators regarding laboratory findings.,3. Chờ Công Nghệ (Unmet Needs),14.48,28.96,0.5430000000000001
16783,Bioinformatics Scientists,Instruct others in the selection and use of bioinformatics tools.,2. Vùng Kháng Cự (Resistance),8.58,28.6,1.0725
16270,Clinical Data Managers,Develop technical specifications for data management programming and communicate needs to information technology staff.,3. Chờ Công Nghệ (Unmet Needs),10.95,27.375,1.2166666666666666
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",3. Chờ Công Nghệ (Unmet Needs),17.96,26.94,1.1225
61,Medical and Health Services Managers,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,4. Thành Trì Con Người (Safe Haven),11.49,26.810000000000002,1.532
17231,Radiologists,Participate in quality improvement activities including discussions of areas where risk of error is high.,4. Thành Trì Con Người (Safe Haven),12.419999999999998,24.839999999999996,0.7762499999999999
16809,Molecular and Cellular Biologists,Evaluate new technologies to enhance or complement current research.,3. Chờ Công Nghệ (Unmet Needs),12.24,24.48,0.8160000000000001
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",4. Thành Trì Con Người (Safe Haven),10.44,23.49,1.218
18100,Health Informatics Specialists,"Develop strategies, policies or procedures for introducing, evaluating, or modifying information technology applied to nursing practice, administration, education, or research.",4. Thành Trì Con Người (Safe Haven),11.43,22.86,0.47625
16247,Biostatisticians,"Determine project plans, timelines, or technical objectives for statistical aspects of biological research studies.",Chưa xác định,12.51,,
16248,Biostatisticians,Assign work to biostatistical assistants or programmers.,Chưa xác định,14.0,,
