O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID)
11-9111.00,Medical and Health Services Managers,49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Core,08/2022,5.0,5.0,4.31,92.86,137730.0,565840.0,"['Thinking Creatively', 'Documenting/Recording Information']","['4.A.2.b.2', '4.A.3.b.6']"
11-9111.00,Medical and Health Services Managers,51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Core,08/2022,3.0,3.0,4.16,89.29,137730.0,565840.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-9111.00,Medical and Health Services Managers,55,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Core,08/2022,3.0,3.0,4.16,89.29,137730.0,565840.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-9111.00,Medical and Health Services Managers,52,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",Core,08/2022,5.0,5.0,4.11,100.0,137730.0,565840.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-9111.00,Medical and Health Services Managers,61,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,Core,08/2022,3.0,3.0,3.83,82.14,137730.0,565840.0,"['Monitoring Processes, Materials, or Surroundings', 'Analyzing Data or Information']","['4.A.1.a.2', '4.A.2.a.4']"
11-9111.00,Medical and Health Services Managers,57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Core,08/2022,3.0,3.0,3.78,96.43,137730.0,565840.0,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.01,Clinical Research Coordinators,15612,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",Core,08/2021,4.0,4.0,4.49,84.74,,,['Scheduling Work and Activities'],['4.A.2.b.5']
11-9121.01,Clinical Research Coordinators,15595,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",Core,08/2021,3.0,3.0,4.41,82.57,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.01,Clinical Research Coordinators,15594,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,Core,08/2021,4.0,4.0,4.35,89.64,,,"['Documenting/Recording Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.3.b.6', '4.A.4.a.2']"
11-9121.01,Clinical Research Coordinators,15614,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",Core,08/2021,5.0,5.0,4.27,86.6,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.01,Clinical Research Coordinators,15593,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",Core,08/2021,3.0,3.0,4.22,89.22,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-9121.01,Clinical Research Coordinators,15608,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",Core,08/2021,3.0,3.0,4.11,76.34,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
11-9121.01,Clinical Research Coordinators,15592,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,Core,08/2021,5.0,5.0,4.08,83.81,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.01,Clinical Research Coordinators,15609,"Code, evaluate, or interpret collected study data.",Core,08/2021,3.0,3.0,4.07,72.21,,,"['Analyzing Data or Information', 'Working with Computers']","['4.A.2.a.4', '4.A.3.b.1']"
11-9121.01,Clinical Research Coordinators,15600,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,Core,08/2021,3.0,3.0,3.96,68.66,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
11-9121.01,Clinical Research Coordinators,15598,Order drugs or devices necessary for study completion.,Core,08/2021,3.0,3.0,3.85,70.47,,,['Monitoring and Controlling Resources'],['4.A.4.c.3']
11-9121.01,Clinical Research Coordinators,15607,Communicate with laboratories or investigators regarding laboratory findings.,Core,08/2021,4.0,4.0,3.62,78.48,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
11-9121.01,Clinical Research Coordinators,15583,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",Core,08/2021,3.0,3.0,3.48,84.9,,,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-9121.01,Clinical Research Coordinators,15590,Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.,Supplemental,08/2021,4.0,4.0,3.58,49.05,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
11-9121.01,Clinical Research Coordinators,15584,Register protocol patients with appropriate statistical centers as required.,Supplemental,08/2021,4.0,4.0,3.48,44.36,,,['Performing Administrative Activities'],['4.A.4.c.1']
15-1211.01,Health Informatics Specialists,18090,"Translate nursing practice information between nurses and systems engineers, analysts, or designers, using object-oriented models or other techniques.",Core,08/2024,3.0,3.0,4.81,100.0,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
15-1211.01,Health Informatics Specialists,18092,Use informatics science to design or implement health information technology applications for resolution of clinical or health care administrative problems.,Core,08/2024,6.0,6.0,4.71,100.0,,,['Thinking Creatively'],['4.A.2.b.2']
15-1211.01,Health Informatics Specialists,18094,"Analyze and interpret patient, nursing, or information systems data to improve nursing services.",Core,08/2024,5.0,5.0,4.33,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4']
15-1211.01,Health Informatics Specialists,18101,"Identify, collect, record, or analyze data relevant to the nursing care of patients.",Core,08/2024,5.0,5.0,4.24,100.0,,,"['Analyzing Data or Information', 'Documenting/Recording Information']","['4.A.2.a.4', '4.A.3.b.6']"
15-1211.01,Health Informatics Specialists,18093,"Develop, implement, or evaluate health information technology applications, tools, processes, or structures to assist nurses with data management.",Core,08/2024,3.0,3.0,4.15,100.0,,,"['Judging the Qualities of Objects, Services, or People', 'Thinking Creatively']","['4.A.2.a.1', '4.A.2.b.2']"
15-1211.01,Health Informatics Specialists,18088,"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts.",Core,08/2024,4.0,4.0,4.14,100.0,,,"['Inspecting Equipment, Structures, or Materials', 'Judging the Qualities of Objects, Services, or People', 'Thinking Creatively']","['4.A.1.b.2', '4.A.2.a.1', '4.A.2.b.2']"
15-1211.01,Health Informatics Specialists,18095,"Analyze computer and information technologies to determine applicability to nursing practice, education, administration, and research.",Core,08/2024,5.0,5.0,3.9,100.0,,,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
15-1211.01,Health Informatics Specialists,18100,"Develop strategies, policies or procedures for introducing, evaluating, or modifying information technology applied to nursing practice, administration, education, or research.",Core,08/2024,3.0,3.0,3.81,100.0,,,['Developing Objectives and Strategies'],['4.A.2.b.4']
15-1211.01,Health Informatics Specialists,18103,Provide consultation to nurses regarding hardware or software configuration.,Core,08/2024,3.0,3.0,3.43,100.0,,,['Providing Consultation and Advice to Others'],['4.A.4.b.6']
15-2041.01,Biostatisticians,16265,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",Core,08/2021,3.0,3.0,4.39,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4']
15-2041.01,Biostatisticians,16246,Calculate sample size requirements for clinical studies.,Core,08/2021,3.0,3.0,4.35,95.83,,,['Making Decisions and Solving Problems'],['4.A.2.b.1']
15-2041.01,Biostatisticians,16252,Prepare tables and graphs to present clinical data or results.,Core,08/2021,3.0,3.0,4.3,95.83,,,['Thinking Creatively'],['4.A.2.b.2']
15-2041.01,Biostatisticians,16249,Write program code to analyze data with statistical analysis software.,Core,08/2021,4.0,4.0,4.29,100.0,,,['Working with Computers'],['4.A.3.b.1']
15-2041.01,Biostatisticians,16262,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,Core,08/2021,3.0,3.0,4.18,95.83,,,['Making Decisions and Solving Problems'],['4.A.2.b.1']
15-2041.01,Biostatisticians,16247,"Determine project plans, timelines, or technical objectives for statistical aspects of biological research studies.",Core,08/2021,3.0,3.0,4.17,100.0,,,"['Organizing, Planning, and Prioritizing Work']",['4.A.2.b.6']
15-2041.01,Biostatisticians,16248,Assign work to biostatistical assistants or programmers.,Core,08/2021,4.0,4.0,3.5,91.67,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
15-2051.02,Clinical Data Managers,16284,"Process clinical data, including receipt, entry, verification, or filing of information.",Core,07/2016,5.0,5.0,4.37,100.0,,,"['Processing Information', 'Working with Computers']","['4.A.2.a.2', '4.A.3.b.1']"
15-2051.02,Clinical Data Managers,16280,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",Core,07/2016,5.0,5.0,4.32,95.0,,,['Analyzing Data or Information'],['4.A.2.a.4']
15-2051.02,Clinical Data Managers,16279,Monitor work productivity or quality to ensure compliance with standard operating procedures.,Core,07/2016,5.0,5.0,4.05,100.0,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
15-2051.02,Clinical Data Managers,16277,"Prepare data analysis listings and activity, performance, or progress reports.",Core,07/2016,3.0,3.0,3.95,95.0,,,['Documenting/Recording Information'],['4.A.3.b.6']
15-2051.02,Clinical Data Managers,16283,Analyze clinical data using appropriate statistical tools.,Core,07/2016,3.0,3.0,3.71,70.0,,,['Analyzing Data or Information'],['4.A.2.a.4']
15-2051.02,Clinical Data Managers,16270,Develop technical specifications for data management programming and communicate needs to information technology staff.,Core,07/2016,3.0,3.0,3.65,85.0,,,"['Developing Objectives and Strategies', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.2.b.4', '4.A.4.a.2']"
15-2051.02,Clinical Data Managers,16274,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",Core,07/2016,4.0,4.0,3.45,100.0,,,['Getting Information'],['4.A.1.a.1']
19-1029.01,Bioinformatics Scientists,16786,Develop new software applications or customize existing applications to meet specific scientific project needs.,Core,07/2012,3.0,3.0,4.3,84.9,,,['Thinking Creatively'],['4.A.2.b.2']
19-1029.01,Bioinformatics Scientists,16790,Create novel computational approaches and analytical tools as required by research goals.,Core,07/2012,3.0,3.0,4.24,76.84,,,['Thinking Creatively'],['4.A.2.b.2']
19-1029.01,Bioinformatics Scientists,16795,"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.",Core,07/2012,5.0,5.0,3.94,78.39,,,['Analyzing Data or Information'],['4.A.2.a.4']
19-1029.01,Bioinformatics Scientists,16791,"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics.",Core,07/2012,3.0,3.0,3.75,81.88,,,['Getting Information'],['4.A.1.a.1']
19-1029.01,Bioinformatics Scientists,16793,"Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases.",Core,07/2012,5.0,5.0,3.71,86.64,,,['Thinking Creatively'],['4.A.2.b.2']
19-1029.01,Bioinformatics Scientists,16788,Create or modify web-based bioinformatics tools.,Core,07/2012,3.0,3.0,3.38,77.72,,,['Thinking Creatively'],['4.A.2.b.2']
19-1029.01,Bioinformatics Scientists,16783,Instruct others in the selection and use of bioinformatics tools.,Supplemental,07/2012,3.0,3.0,2.86,91.25,,,['Training and Teaching Others'],['4.A.4.b.3']
19-1029.02,Molecular and Cellular Biologists,16807,Maintain accurate laboratory records and data.,Core,08/2021,5.0,5.0,4.65,100.0,,,['Documenting/Recording Information'],['4.A.3.b.6']
19-1029.02,Molecular and Cellular Biologists,23905,"Prepare or review reports, manuscripts, or meeting presentations.",Core,08/2021,3.0,3.0,4.23,100.0,,,"['Getting Information', 'Evaluating Information to Determine Compliance with Standards', 'Documenting/Recording Information']","['4.A.1.a.1', '4.A.2.a.3', '4.A.3.b.6']"
19-1029.02,Molecular and Cellular Biologists,16808,Instruct undergraduate and graduate students within the areas of cellular or molecular biology.,Core,08/2021,4.0,4.0,4.19,100.0,,,['Training and Teaching Others'],['4.A.4.b.3']
19-1029.02,Molecular and Cellular Biologists,16814,Compile and analyze molecular or cellular experimental data and adjust experimental designs as necessary.,Core,08/2021,5.0,5.0,4.12,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4']
19-1029.02,Molecular and Cellular Biologists,16809,Evaluate new technologies to enhance or complement current research.,Core,08/2021,3.0,3.0,4.08,100.0,,,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
29-1224.00,Radiologists,17242,Prepare comprehensive interpretive reports of findings.,Core,08/2023,7.0,7.0,4.98,86.65,359820.0,26290.0,['Documenting/Recording Information'],['4.A.3.b.6']
29-1224.00,Radiologists,17254,"Perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (MRI), computer tomography (CT), positron emission tomography (PET), nuclear cardiology treadmill studies, mammography, or ultrasound.",Core,08/2023,7.0,7.0,4.92,96.34,359820.0,26290.0,"['Analyzing Data or Information', 'Controlling Machines and Processes']","['4.A.2.a.4', '4.A.3.a.3']"
29-1224.00,Radiologists,17248,"Document the performance, interpretation, or outcomes of all procedures performed.",Core,08/2023,7.0,7.0,4.87,89.13,359820.0,26290.0,['Documenting/Recording Information'],['4.A.3.b.6']
29-1224.00,Radiologists,17239,Review or transmit images and information using picture archiving or communications systems.,Core,08/2023,7.0,7.0,4.84,97.05,359820.0,26290.0,"['Analyzing Data or Information', 'Performing Administrative Activities']","['4.A.2.a.4', '4.A.4.c.1']"
29-1224.00,Radiologists,17249,Develop or monitor procedures to ensure adequate quality control of images.,Core,08/2023,7.0,7.0,4.6,94.85,359820.0,26290.0,['Thinking Creatively'],['4.A.2.b.2']
29-1224.00,Radiologists,17234,Participate in continuing education activities to maintain and develop expertise.,Core,08/2023,3.0,3.0,4.25,98.41,359820.0,26290.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
29-1224.00,Radiologists,17231,Participate in quality improvement activities including discussions of areas where risk of error is high.,Core,08/2023,3.0,3.0,4.14,88.48,359820.0,26290.0,['Thinking Creatively'],['4.A.2.b.2']
31-9094.00,Medical Transcriptionists,9416,"Return dictated reports in printed or electronic form for physician's review, signature, and corrections and for inclusion in patients' medical records.",Core,08/2021,7.0,7.0,4.88,95.4,39210.0,43070.0,['Documenting/Recording Information'],['4.A.3.b.6']
31-9094.00,Medical Transcriptionists,9421,"Produce medical reports, correspondence, records, patient-care information, statistics, medical research, and administrative material.",Core,08/2021,7.0,7.0,4.76,90.17,39210.0,43070.0,['Documenting/Recording Information'],['4.A.3.b.6']
31-9094.00,Medical Transcriptionists,9414,"Review and edit transcribed reports or dictated material for spelling, grammar, clarity, consistency, and proper medical terminology.",Core,08/2021,5.0,5.0,4.73,86.68,39210.0,43070.0,['Documenting/Recording Information'],['4.A.3.b.6']
31-9094.00,Medical Transcriptionists,9413,"Transcribe dictation for a variety of medical reports, such as patient histories, physical examinations, emergency room visits, operations, chart reviews, consultation, or discharge summaries.",Core,08/2021,7.0,7.0,4.65,93.65,39210.0,43070.0,['Documenting/Recording Information'],['4.A.3.b.6']
31-9094.00,Medical Transcriptionists,9415,"Distinguish between homonyms and recognize inconsistencies and mistakes in medical terms, referring to dictionaries, drug references, and other sources on anatomy, physiology, and medicine.",Core,08/2021,5.0,5.0,4.62,83.18,39210.0,43070.0,['Documenting/Recording Information'],['4.A.3.b.6']
31-9094.00,Medical Transcriptionists,9423,"Set up and maintain medical files and databases, including records such as x-ray, lab, and procedure reports, medical histories, diagnostic workups, admission and discharge summaries, and clinical resumes.",Core,08/2021,7.0,7.0,4.62,75.76,39210.0,43070.0,['Documenting/Recording Information'],['4.A.3.b.6']
31-9094.00,Medical Transcriptionists,9417,Translate medical jargon and abbreviations into their expanded forms to ensure the accuracy of patient and health care facility records.,Core,08/2021,7.0,7.0,4.61,98.2,39210.0,43070.0,['Documenting/Recording Information'],['4.A.3.b.6']
31-9094.00,Medical Transcriptionists,9420,"Perform data entry and data retrieval services, providing data for inclusion in medical records and for transmission to physicians.",Core,08/2021,7.0,7.0,4.54,91.14,39210.0,43070.0,"['Documenting/Recording Information', 'Performing Administrative Activities']","['4.A.3.b.6', '4.A.4.c.1']"
